7:41039,3005,69125,111449,12662,46948,86677,43106,17753,68121
18:71290,52562,82175,70866,5027,27553,16007,19195,114047,51763
19:7102,106441,34480,103902,47470,58498,59504,45969,13226,88031
36:359,63854,8451,109106,35903,102229,24375,34600,12705,107232
37:52958,81433,107820,17442,18651,31738,121853,111966,22997,57037
41:23653,28257,72399,46000,102883,37633,6791,5942,25285,73016
42:4393,39825,79898,48349,14197,90108,119384,104064,103457,94741
43:120122,95261,29630,71361,88520,41830,39678,84782,60474,51356
44:20413,100004,42230,29395,43981,12347,26277,62534,99266,108625
45:6255,108357,49599,28542,28270,63138,103846,89756,90998,17183
46:88864,87985,97800,122720,49190,28026,10515,82657,54443,68753
59:18170,6697,94987,26848,54474,30384,65703,106877,91628,41978
60:29352,1767,91666,52803,76550,81692,22476,83892,69032,67425
69:32954,4381,22115,69527,111165,31571,121745,34808,64583,77797
70:441,110622,97569,14842,73757,97216,100424,78305,101202,17071
94:59480,76037,91545,25713,69453,20107,32404,103351,1860,118761
106:85714,61542,32365,83029,16874,24319,3186,2064,96727,105346
115:105440,40742,76872,79737,76047,85863,72599,23528,25865,113882
116:15366,105927,72969,57263,114730,15844,59232,69072,74291,45306
142:89750,29828,14450,74135,119584,110015,46360,104165,25748,66514
143:77860,72047,26132,122621,15355,48720,116916,95606,99392,71882
148:66854,121192,86940,35784,93748,11877,95480,11707,9393,103381
150:40691,97988,64125,111892,41238,61860,34746,65543,11765,70131
156:102767,55378,56428,29437,11310,108828,83096,8467,18711,62099
161:912,5584,75372,10755,89604,69164,15724,105716,59246,17826
171:120263,57042,1710,104786,54661,81982,59304,31524,102006,105196
172:121892,25959,49808,54683,60834,116928,62146,26427,10806,117603
174:78049,93559,86119,19960,58284,18033,48037,57429,108138,26999
177:71712,74663,95363,113223,19782,102117,52602,16851,12075,26770
196:36101,5120,78829,104113,104948,20347,28465,22828,75082,38168
202:77991,97740,90974,84552,45684,80745,97567,103745,74571,2056
211:98450,88512,120617,55645,88408,118270,6740,100667,35601,44564
217:93148,30835,99051,93872,105990,117078,73220,61807,58523,102912
220:36194,34844,66803,75461,28848,46641,88506,66188,104283,71237
223:60580,120906,2110,24076,82957,35039,2752,61972,8185,3029
224:29858,17202,107052,43578,70949,122823,106299,27526,76762,17915
225:92526,110098,15055,30959,67496,121553,108169,122447,58248,58533
228:44956,8048,21027,48206,117192,46540,48059,120867,13508,86240
229:84893,64211,22106,337,101927,44706,61208,121066,20524,83659
231:11532,17593,59301,97244,65160,29588,29334,74621,80506,122538
232:2871,50397,121542,53727,86302,74036,57666,103527,88435,25186
238:49409,8221,112387,38099,70092,3288,44550,17843,40919,56391
241:87318,49806,9419,117691,2194,65548,122391,40239,107769,47516
245:53558,52850,13612,62720,37750,17305,82697,101971,100609,86532
249:96421,8759,71859,77285,98332,120421,94586,66138,7879,24350
250:107904,91101,116430,56840,48749,36452,100019,12702,46763,104111
253:41885,105974,101627,51151,113688,91854,29558,14201,78913,25717
257:46261,65254,91950,26280,17880,117534,21015,77211,58856,88892
272:55719,89778,34662,69674,61063,122403,97018,34537,119681,78486
273:57453,84077,5333,72265,102615,51008,58680,6767,103728,3357
288:56373,68640,19205,70381,99854,77712,24802,112231,58533,44457
290:93515,6947,19834,7018,105102,91736,67658,36433,40614,3162
291:115248,71508,104328,108205,84008,25337,108033,40190,47218,60590
292:80624,64899,112250,95177,54097,105324,90378,108806,19534,3217
294:38544,81832,81399,113915,100638,56488,84758,5898,22633,64518
328:37536,72938,96552,41958,72665,64380,48286,122191,14116,7041
331:35144,48387,79759,87354,83112,87669,16722,16020,82692,109799
345:2219,50538,75067,49436,122849,94674,27450,52716,26219,17248
361:11713,89635,107883,71289,41170,51711,52937,99744,3093,104279
376:70080,38645,30055,2532,82874,113496,5333,37139,72194,2468
384:13341,110792,6425,105801,58746,24450,43933,12980,73721,53076
401:65094,46433,41106,55972,28195,26213,70022,55537,17135,49729
402:56907,95304,116503,62427,49501,43634,82819,61307,28920,8554
410:90108,7619,84649,34978,48414,42101,84308,52677,25871,5488
448:122168,33438,53256,8180,106252,46575,34967,58917,117892,91018
449:94388,24127,28192,91249,9776,112434,1429,95219,47093,69805
450:12519,16346,3037,63000,82146,50780,1930,44474,5544,26526
452:99956,100103,1388,89626,10483,78811,10959,69390,42154,2624
476:47118,79753,104531,79895,74441,101907,42344,115839,49671,115988
488:27397,68286,99748,27664,29946,30028,60683,88249,51588,46043
490:38238,26154,82626,60325,42730,49519,105584,100889,83220,49269
494:86569,119299,112257,12702,91592,60260,87319,120955,59550,119657
500:6073,115043,117116,118735,4051,114544,47075,101677,53753,69905
514:65316,39994,36062,20218,72702,2769,71613,39557,32116,72950
525:39141,111301,35135,123252,119166,105110,3054,38883,89074,37902
535:12955,77330,121923,57577,14435,25810,120832,17548,38377,105818
536:107214,108069,91979,93674,13661,49196,84240,75940,89435,63499
538:61738,90490,87154,74987,85366,107295,21558,99544,2181,9927
539:4535,63859,107616,91817,70803,6621,112034,109285,108496,117077
564:61764,52063,35270,61618,17342,4186,55299,65190,36653,93481
